epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,751.231,1.0648,2.16999,1.57384,1.06411,0,0.61096,0.30397,0.30849,0.21398,0.5842,0.28184,0.28005,0.17168,1.00211,2.12265,1.23405,1.01581,0,0.0099982,0.00333273,0.0099982,0.00333273,0.0099982,0.00333273,0.0099982,0.00333273
2,1258.38,1.11048,2.17473,1.40926,1.05178,0,0.49404,0.32119,0.30632,0.20491,0.41806,0.29698,0.27408,0.16519,1.03482,2.12122,1.24223,1.02905,0,0.0196022,0.00653408,0.0196022,0.00653408,0.0196022,0.00653408,0.0196022,0.00653408
3,1703.62,1.18209,2.2827,1.48111,1.07704,0,0.51466,0.30937,0.2896,0.1928,0.47614,0.28244,0.25275,0.15611,1.05919,2.20591,1.27399,1.05074,0,0.0288103,0.00960342,0.0288103,0.00960342,0.0288103,0.00960342,0.0288103,0.00960342
4,2131.49,1.1703,2.25872,1.45307,1.07046,0,0.50426,0.35672,0.33418,0.23282,0.48419,0.34768,0.30553,0.19493,0.98535,2.07358,1.14262,1.01844,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2558.3,1.0892,2.13111,1.34872,1.04002,0,0.55294,0.37771,0.35751,0.2525,0.56608,0.33711,0.32513,0.20706,0.93044,1.97067,1.07371,0.99426,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2984.78,1.04087,2.04731,1.28892,1.02294,0,0.46665,0.40701,0.3822,0.2733,0.4437,0.38273,0.35201,0.21868,0.89476,1.89993,1.03125,0.97954,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3410.15,1.01103,1.9925,1.24956,1.01189,0,0.51936,0.39734,0.396,0.28528,0.49506,0.37437,0.36567,0.23278,0.87273,1.85014,1.00781,0.96784,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3836.49,0.98977,1.95948,1.21971,1.00312,0,0.53624,0.42561,0.41847,0.30399,0.48529,0.40883,0.3773,0.24306,0.85023,1.80416,0.96643,0.95917,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4263.3,0.96953,1.92639,1.19152,0.99645,0,0.53271,0.43272,0.43028,0.31445,0.48746,0.40943,0.39404,0.25232,0.82456,1.75775,0.94084,0.94922,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4690.57,0.95507,1.89142,1.16842,0.99058,0,0.51115,0.43127,0.43175,0.31922,0.48199,0.40461,0.39334,0.25364,0.81219,1.75445,0.93528,0.94432,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
