epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,375.117,0,0,3.27967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099964,0.00333213,0.0099964,0.00333213,0.0099964,0.00333213,0.0099964,0.00333213
2,642.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197984,0.00659948,0.0197984,0.00659948,0.0197984,0.00659948,0.0197984,0.00659948
3,875.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294025,0.00980082,0.0294025,0.00980082,0.0294025,0.00980082,0.0294025,0.00980082
4,1095.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1316.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1536.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1757.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1977.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2197.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2418.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2638.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2858.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3079.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3299.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3519.39,0,0,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3739.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3960.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4180.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4400.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4621.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4841.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5061.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5282.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5502.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5722.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5942.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6163.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,6383.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,6603.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6824.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7044.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,7264.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7485.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7705.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7926.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8146.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8366.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
