epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,467.854,0,1.15944,0,0,0,0,0,0,0,0,0.0099982,0.00333273,0.0099982,0.00333273,0.0099982,0.00333273,0.0099982,0.00333273
2,769.399,0,0,0,0,0,0,0,0,0,0,0.0190083,0.0063361,0.0190083,0.0063361,0.0190083,0.0063361,0.0190083,0.0063361
3,1031.29,0,0,0,0,0,0,0,0,0,0,0.0270284,0.00900946,0.0270284,0.00900946,0.0270284,0.00900946,0.0270284,0.00900946
4,1282.48,0,0,0,0,0,0,0,0,0,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,1532.65,0,0,0,0,0,0,0,0,nan,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,1783.26,0,0,0,0,0,0,0,0,nan,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,2033.5,0,0,0,0,0,0,0,0,0,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,2284.54,0,0,0,0,0,0,0,0,0,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,2535.46,0,0,0,0,0,0,0,0,0,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,2785.76,0,0,0,0,0,0,0,0,0,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,3031.93,0,0,0,0,0,0,0,0,0,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,3276.71,0,0,0,0,0,0,0,0,0,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,3522,0,0,0,0,0,0,0,0,0,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,3767.34,0,0,0,0,0,0,0,0,0,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
