epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,548.896,1.04111,1.54978,1.14904,0.50295,0.39444,0.39081,0.28154,0.89676,1.12856,1.03404,0.0099982,0.00333273,0.0099982,0.00333273,0.0099982,0.00333273,0.0099982,0.00333273
2,915.625,1.05802,1.35561,1.12915,0.49243,0.40167,0.40127,0.28792,0.93549,1.13064,1.05816,0.0190083,0.0063361,0.0190083,0.0063361,0.0190083,0.0063361,0.0190083,0.0063361
3,1237.32,1.12015,1.42749,1.16404,0.50737,0.40436,0.39038,0.28072,0.94639,1.14519,1.07204,0.0270284,0.00900946,0.0270284,0.00900946,0.0270284,0.00900946,0.0270284,0.00900946
4,1547.16,1.11325,1.39623,1.16219,0.57149,0.42186,0.43377,0.31622,0.88386,1.04738,1.04219,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,1856.17,1.04259,1.28858,1.12765,0.62963,0.4353,0.46812,0.34934,0.83444,0.96841,1.01757,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,2165.55,0.99735,1.22452,1.10543,0.59693,0.46866,0.49756,0.37452,0.80349,0.92048,0.99901,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,2475.05,0.96884,1.17633,1.0901,0.57661,0.4831,0.51119,0.39345,0.78311,0.88819,0.98633,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,2784.86,0.94318,1.13815,1.07774,0.58007,0.50754,0.53773,0.41387,0.76319,0.8511,0.97812,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,3093.84,0.92361,1.1059,1.06851,0.64476,0.5273,0.55131,0.42386,0.73814,0.81946,0.96244,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,3403.11,0.90292,1.07197,1.05864,0.65446,0.51655,0.55465,0.42859,0.72652,0.80642,0.95447,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,3708.98,0.85682,0.96958,1.02317,0.67226,0.52869,0.56672,0.43899,0.72405,0.79432,0.9532,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,4014.29,0.83795,0.9377,1.01295,0.6562,0.51745,0.57747,0.44981,0.72101,0.78829,0.95191,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,4319.43,0.82241,0.90892,1.00356,0.58351,0.55438,0.58445,0.45648,0.70458,0.77558,0.94351,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,4624.31,0.80404,0.8821,0.99372,0.64631,0.54293,0.593,0.46763,0.69491,0.76227,0.93884,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,4929.5,0.78885,0.85357,0.98681,0.64549,0.56015,0.60082,0.47173,0.69384,0.75625,0.93723,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,5234.54,0.77041,0.82563,0.97706,0.62704,0.57874,0.6088,0.48076,0.6881,0.74256,0.93411,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,5539.1,0.75216,0.79971,0.96974,0.62814,0.58443,0.61421,0.48485,0.68521,0.73494,0.93217,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,5844.65,0.73885,0.77213,0.9636,0.62808,0.58149,0.61643,0.48763,0.68033,0.72807,0.92867,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,6148.41,0.72347,0.74183,0.95609,0.62786,0.58694,0.61767,0.48793,0.67718,0.72348,0.92625,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,6452.93,0.71152,0.71832,0.95057,0.62763,0.58736,0.61817,0.48885,0.67526,0.72056,0.92422,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
